mw_peak
5972
6094
6211
6663
6485
6674
6559
6403
6495
6627
6492
6376
6118
6452
6642
6845
6829
6928
6848
6863
6873
6530
6662
6575
6407
6878
7057
7305
7656
7646
7240
7009
7057
7074
6851
6946
6594
6877
7006
7056
7538
7552
7438
7200
7107
7255
7223
7178
7027
7162
7503
7885
7889
7709
7574
7242
7293
7421
7425
7395
7079
7214
7720
8178
8305
8208
8030
7755
7966
7564
7488
7670
7121
7545
7655
8267
8717
8607
8265
8230
8005
7993
8033
7996
7315
7610
7878
8727
8928
8881
8826
8889
8738
8624
8498
8487
8175
8229
8806
9586
9726
9507
9339
9379
9082
9005
8900
8774
8249
8668
9459
9831
10054
10000
9588
9957
9806
9483
9590
9441
9213
9579
9936
10539
10750
10876
9996
9843
10035
10346
10088
9987
9123
9309
10180
10957
11245
11344
10997
10687
10392
10845
10413
10111
9713
9889
11103
8377
9639
10642
10595
10422
10570
10344
9886
9634
9162
9574
10543
10425
11556
11640
11073
10270
10752
10811
10572
10009
9449
10067
11654
11508
12113
11856
11311
11277
11469
11282
10989
10844
