,name,type,date
123,All Souls' Day,Observance,2016-11-02
124,Bonifacio Day,Regular Holiday,2016-11-30
125,Maulid un-Nabi,Common local holiday,2016-12-12
126,December Solstice,Season,2016-12-21
127,Christmas Eve,Special Non-working Holiday,2016-12-24
128,Christmas Day,Regular Holiday,2016-12-25
129,Christmas Day observed,Regular Holiday,2016-12-26
130,Rizal Day,Regular Holiday,2016-12-30
131,New Year's Eve,Special Non-working Holiday,2016-12-31
132,New Year's Day,Regular Holiday,2017-01-01
133,New Year's Day observed,Regular Holiday,2017-01-02
134,Lunar New Year's Day,Special Non-working Holiday,2017-01-28
135,People Power Anniversary,Observance,2017-02-25
136,March Equinox,Season,2017-03-20
137,The Day of Valor,Regular Holiday,2017-04-09
138,Maundy Thursday,Regular Holiday,2017-04-13
139,Good Friday,Regular Holiday,2017-04-14
140,Black Saturday,Special Non-working Holiday,2017-04-15
141,Easter Sunday,Observance,2017-04-16
142,Lailatul Isra Wal Mi Raj,Common local holiday,2017-04-24
143,Labor Day,Regular Holiday,2017-05-01
144,Independence Day,Regular Holiday,2017-06-12
145,June Solstice,Season,2017-06-21
146,Eidul-Fitar,Regular Holiday,2017-06-26
147,Ninoy Aquino Day,Special Non-working Holiday,2017-08-21
148,National Heroes Day,Regular Holiday,2017-08-28
149,Eid al-Adha (Feast of the Sacrifice),Regular Holiday,2017-09-02
150,Eid al-Adha Day 2,Common local holiday,2017-09-03
151,Amun Jadid,"Muslim, Common local holiday",2017-09-22
152,September Equinox,Season,2017-09-23
153,Special non-working Day,National holiday,2017-10-31
154,All Saints' Day,Special Non-working Holiday,2017-11-01
155,All Souls' Day,Observance,2017-11-02
156,Bonifacio Day,Regular Holiday,2017-11-30
157,Maulid un-Nabi,Common local holiday,2017-12-01
158,Feast of the Immaculate Conception,Special Non-working Holiday,2017-12-08
159,December Solstice,Season,2017-12-22
160,Christmas Eve,Observance,2017-12-24
161,Christmas Day,Regular Holiday,2017-12-25
162,Rizal Day,Regular Holiday,2017-12-30
163,New Year's Eve,Special Non-working Holiday,2017-12-31
164,New Year's Day,Regular Holiday,2018-01-01
165,Lunar New Year's Day,Special Non-working Holiday,2018-02-16
166,People Power Anniversary,Special Non-working Holiday,2018-02-25
167,March Equinox,Season,2018-03-21
168,Maundy Thursday,Regular Holiday,2018-03-29
169,Good Friday,Regular Holiday,2018-03-30
170,Black Saturday,Special Non-working Holiday,2018-03-31
171,Black Saturday,Special Non-working Holiday,2018-03-31
172,Easter Sunday,Observance,2018-04-01
173,The Day of Valor,Regular Holiday,2018-04-09
174,Lailatul Isra Wal Mi Raj,Common local holiday,2018-04-13
175,Labor Day,Regular Holiday,2018-05-01
176,Special Non-Working Day,Special Non-working Holiday,2018-05-14
177,Independence Day,Regular Holiday,2018-06-12
178,Eidul-Fitar,Regular Holiday,2018-06-15
179,June Solstice,Season,2018-06-21
180,Eid al-Adha (Feast of the Sacrifice),Regular Holiday,2018-08-21
181,Ninoy Aquino Day,Special Non-working Holiday,2018-08-21
182,Eid al-Adha Day 2,Common local holiday,2018-08-22
183,National Heroes Day,Regular Holiday,2018-08-27
184,Amun Jadid,"Muslim, Common local holiday",2018-09-12
185,September Equinox,Season,2018-09-23
186,All Saints' Day,Special Non-working Holiday,2018-11-01
187,All Souls' Day,Special Non-working Holiday,2018-11-02
188,Additional Special Non-Working Day,Special Non-working Holiday,2018-11-02
189,Maulid un-Nabi,Common local holiday,2018-11-21
190,Bonifacio Day,Regular Holiday,2018-11-30
191,Feast of the Immaculate Conception,Special Non-working Holiday,2018-12-08
192,December Solstice,Season,2018-12-22
193,Christmas Eve,Special Non-working Holiday,2018-12-24
194,Additional Special Non-Working Day,Special Non-working Holiday,2018-12-24
195,Christmas Day,Regular Holiday,2018-12-25
196,Rizal Day,Regular Holiday,2018-12-30
197,New Year's Eve,Special Non-working Holiday,2018-12-31
198,New Year's Day,Regular Holiday,2019-01-01
199,First Philippine Republic Day,Special Working Day,2019-01-23
200,Lunar New Year's Day,Special Non-working Holiday,2019-02-05
201,People Power Anniversary,Special Non-working Holiday,2019-02-25
202,March Equinox,Season,2019-03-21
