,name,type,date
123,All Souls' Day,Observance,02/11/2016
124,Bonifacio Day,Regular Holiday,30/11/2016
125,Maulid un-Nabi,Common local holiday,12/12/2016
126,December Solstice,Season,21/12/2016
127,Christmas Eve,Special Non-working Holiday,24/12/2016
128,Christmas Day,Regular Holiday,25/12/2016
129,Christmas Day observed,Regular Holiday,26/12/2016
130,Rizal Day,Regular Holiday,30/12/2016
131,New Year's Eve,Special Non-working Holiday,31/12/2016
132,New Year's Day,Regular Holiday,01/01/2017
133,New Year's Day observed,Regular Holiday,02/01/2017
134,Lunar New Year's Day,Special Non-working Holiday,28/01/2017
135,People Power Anniversary,Observance,25/02/2017
136,March Equinox,Season,20/03/2017
137,The Day of Valor,Regular Holiday,09/04/2017
138,Maundy Thursday,Regular Holiday,13/04/2017
139,Good Friday,Regular Holiday,14/04/2017
140,Black Saturday,Special Non-working Holiday,15/04/2017
141,Easter Sunday,Observance,16/04/2017
142,Lailatul Isra Wal Mi Raj,Common local holiday,24/04/2017
143,Labor Day,Regular Holiday,01/05/2017
144,Independence Day,Regular Holiday,12/06/2017
145,June Solstice,Season,21/06/2017
146,Eidul-Fitar,Regular Holiday,26/06/2017
147,Ninoy Aquino Day,Special Non-working Holiday,21/08/2017
148,National Heroes Day,Regular Holiday,28/08/2017
149,Eid al-Adha (Feast of the Sacrifice),Regular Holiday,02/09/2017
150,Eid al-Adha Day 2,Common local holiday,03/09/2017
151,Amun Jadid,"Muslim, Common local holiday",22/09/2017
152,September Equinox,Season,23/09/2017
153,Special non-working Day,National holiday,31/10/2017
154,All Saints' Day,Special Non-working Holiday,01/11/2017
155,All Souls' Day,Observance,02/11/2017
156,Bonifacio Day,Regular Holiday,30/11/2017
157,Maulid un-Nabi,Common local holiday,01/12/2017
158,Feast of the Immaculate Conception,Special Non-working Holiday,08/12/2017
159,December Solstice,Season,22/12/2017
160,Christmas Eve,Observance,24/12/2017
161,Christmas Day,Regular Holiday,25/12/2017
162,Rizal Day,Regular Holiday,30/12/2017
163,New Year's Eve,Special Non-working Holiday,31/12/2017
164,New Year's Day,Regular Holiday,01/01/2018
165,Lunar New Year's Day,Special Non-working Holiday,16/02/2018
166,People Power Anniversary,Special Non-working Holiday,25/02/2018
167,March Equinox,Season,21/03/2018
168,Maundy Thursday,Regular Holiday,29/03/2018
169,Good Friday,Regular Holiday,30/03/2018
170,Black Saturday,Special Non-working Holiday,31/03/2018
171,Black Saturday,Special Non-working Holiday,31/03/2018
172,Easter Sunday,Observance,01/04/2018
173,The Day of Valor,Regular Holiday,09/04/2018
174,Lailatul Isra Wal Mi Raj,Common local holiday,13/04/2018
175,Labor Day,Regular Holiday,01/05/2018
176,Special Non-Working Day,Special Non-working Holiday,14/05/2018
177,Independence Day,Regular Holiday,12/06/2018
178,Eidul-Fitar,Regular Holiday,15/06/2018
179,June Solstice,Season,21/06/2018
180,Eid al-Adha (Feast of the Sacrifice),Regular Holiday,21/08/2018
181,Ninoy Aquino Day,Special Non-working Holiday,21/08/2018
182,Eid al-Adha Day 2,Common local holiday,22/08/2018
183,National Heroes Day,Regular Holiday,27/08/2018
184,Amun Jadid,"Muslim, Common local holiday",12/09/2018
185,September Equinox,Season,23/09/2018
186,All Saints' Day,Special Non-working Holiday,01/11/2018
187,All Souls' Day,Special Non-working Holiday,02/11/2018
188,Additional Special Non-Working Day,Special Non-working Holiday,02/11/2018
189,Maulid un-Nabi,Common local holiday,21/11/2018
190,Bonifacio Day,Regular Holiday,30/11/2018
191,Feast of the Immaculate Conception,Special Non-working Holiday,08/12/2018
192,December Solstice,Season,22/12/2018
193,Christmas Eve,Special Non-working Holiday,24/12/2018
194,Additional Special Non-Working Day,Special Non-working Holiday,24/12/2018
195,Christmas Day,Regular Holiday,25/12/2018
196,Rizal Day,Regular Holiday,30/12/2018
197,New Year's Eve,Special Non-working Holiday,31/12/2018
198,New Year's Day,Regular Holiday,01/01/2019
199,First Philippine Republic Day,Special Working Day,23/01/2019
